Name_kurz	Name	BTS_Name	x_Wert	y_wert	Gelaendehoehe	Status	BTS_Konfig	TOC	Swap	Barring	NumAntennas	Azimuth	Antenne	Anthoehe	Beam	v_Beam	Tilt	el_Tilt	eff_Tilt	Azimuth2	Antenne2	Anthoehe2	Beam2	v_Beam2	Tilt2	el_Tilt2	eff_Tilt2	CI	LAC	CI_LAC	BCC	NumTRX	BCCH	TRX2	TRX3	TRX4	TRX5	TRX6	OMC_Datum	OMC_BCC	OMC_TRX1	OMC_TRX2	OMC_TRX3	OMC_TRX4	OMC_TRX5	OMC_TRX6	OMC_TRX7	OMC_TRX8	Ant_Freq_Band	TOC_Freq_Band	Grenze	Kanalanz_Grenze	ORT	STRASSE	GEBAEUDEART	Funknetzplaner	Funknetzoptimierer	Field_Force	Baukoordinator	StO_Nr	Kategorie	Systemtechnik	UMTS_NE
21D	305300021D	305300021D:sector3	3361634	5708737	51	100	Kein MHA	TOC	not_defined	D1-Barring	1	300	K 739_707	24	89	7	0	2	2									45021	31101	45021_31101	6	2	644	679															GSM 1800	D (DCS1800)													
22A	305300022A	305300022A:sector1	3361276	5706930	53	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_495	27	64	7	0	2	2									5022	31101	5022_31101	2	3	667	709	717														GSM 1800	D (DCS1800)			Essen	Nobermanns Hude 1	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990095	On Air	?	-
22A	305300022A	305300022A:sector2	3361276	5706930	53	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_495	27	64	7	0	2	2									25022	31101	25022_31101	3	3	653	657	677														GSM 1800	D (DCS1800)			Essen	Nobermanns Hude 1	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990095	On Air	?	-
22A	305300022A	305300022A:sector3	3361276	5706930	53	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_495	27	64	7	0	2	2									45022	31101	45022_31101	7	3	699	638	720														GSM 1800	D (DCS1800)			Essen	Nobermanns Hude 1	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990095	On Air	?	-
23B	305300023B	305300023B:sector1	3362655	5709857	39	100	Kein MHA	TOC	not_defined	D1-Barring	1	60	K 739_707	30	89	7	0	2	2									5023	31108	5023_31108	4	2	653	679					12.08.09_06:09	4	653	679							GSM 1800	D (DCS1800)			Essen	Loskamp 124	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990035	On Air	?	-
23B	305300023B	305300023B:sector2	3362655	5709857	39	100	Kein MHA	TOC	not_defined	D1-Barring	1	180	K 739_707	30	89	7	0	2	2									25023	31108	25023_31108	1	2	705	664					12.08.09_06:09	1	705	664							GSM 1800	D (DCS1800)			Essen	Loskamp 124	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990035	On Air	?	-
23B	305300023B	305300023B:sector3	3362655	5709857	39	100	Kein MHA	TOC	not_defined	D1-Barring	1	300	K 739_707	30	89	7	0	2	2									45023	31108	45023_31108	3	2	673	683					12.08.09_06:09	3	673	683							GSM 1800	D (DCS1800)			Essen	Loskamp 124	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990035	On Air	?	-
24B	305300024B	305300024B:sector1	3362933	5706822	48	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_707	27	89	7	0	2	2									5024	31101	5024_31101	0	2	711	678															GSM 1800	D (DCS1800)													
24B	305300024B	305300024B:sector2	3362933	5706822	48	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_707	27	89	7	0	2	2									25024	31101	25024_31101	4	2	720	669															GSM 1800	D (DCS1800)													
24B	305300024B	305300024B:sector3	3362933	5706822	48	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_707	28	89	7	2	2	4									45024	31101	45024_31101	3	2	698	656															GSM 1800	D (DCS1800)													
