Name_kurz	Name	BTS_Name	x_Wert	y_wert	Gelaendehoehe	Status	BTS_Konfig	TOC	Swap	Barring	NumAntennas	Azimuth	Antenne	Anthoehe	Beam	v_Beam	Tilt	el_Tilt	eff_Tilt	Azimuth2	Antenne2	Anthoehe2	Beam2	v_Beam2	Tilt2	el_Tilt2	eff_Tilt2	CI	LAC	CI_LAC	BCC	NumTRX	BCCH	TRX2	TRX3	TRX4	TRX5	TRX6	OMC_Datum	OMC_BCC	OMC_TRX1	OMC_TRX2	OMC_TRX3	OMC_TRX4	OMC_TRX5	OMC_TRX6	OMC_TRX7	OMC_TRX8	Ant_Freq_Band	TOC_Freq_Band	Grenze	Kanalanz_Grenze	ORT	STRASSE	GEBAEUDEART	Funknetzplaner	Funknetzoptimierer	Field_Force	Baukoordinator	StO_Nr	Kategorie	Systemtechnik	UMTS_NE
3A	305300003A	305300003A:sector1	3362209	5704848	64	100	MHA	TOC	not_defined	D1-Barring	1	0	CTSDG-06513-XD_6_D	31	63	15	0	6	6									5003	31101	5003_31101	5	3	1009	1013	1023														GSM 900	E (E-GSM900)			Essen	Schützenbahn 70	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990584	On Air	?	-
3A	305300003A	305300003A:sector2	3362209	5704848	64	100	MHA	TOC	not_defined	D1-Barring	1	120	CTSDG-06513-XD_8_D	30	63	14	0	8	8									25003	31101	25003_31101	3	2	1020	1004															GSM 900	E (E-GSM900)			Essen	Schützenbahn 70	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990584	On Air	?	-
3A	305300003A	305300003A:sector3	3362209	5704848	64	100	MHA	TOC	not_defined	D1-Barring	1	240	CTSDG-06513-XD_8_D	31	63	14	0	8	8									45003	31101	45003_31101	3	2	1016	1006															GSM 900	E (E-GSM900)			Essen	Schützenbahn 70	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990584	On Air	?	-
4F	305300004F	305300004F:sector1	3361904	5703846	91	100	MHA	TOC	not_defined	D1-Barring	1	30	K 742_215_5	25	68	7	0	5	5									5004	31101	5004_31101	7	3	666	660	696														GSM 1800	D (DCS1800)			Essen	Kettwiger Str. 1a	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990086	On Air	?	-
4F	305300004F	305300004F:sector2	3361904	5703846	91	100	MHA	TOC	not_defined	D1-Barring	1	140	K 742_215_4	25	68	7	0	4	4									25004	31101	25004_31101	2	4	705	683	643	662													GSM 1800	D (DCS1800)			Essen	Kettwiger Str. 1a	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990086	On Air	?	-
4F	305300004F	305300004F:sector3	3361904	5703846	91	100	MHA	TOC	not_defined	D1-Barring	1	270	K 742_215_4	27	68	7	0	4	4									45004	31101	45004_31101	4	2	648	698															GSM 1800	D (DCS1800)			Essen	Kettwiger Str. 1a	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990086	On Air	?	-
5D	305300005D	305300005D:sector1	3362487	5704378	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_495	21	64	7	0	2	2									5005	31101	5005_31101	7	2	713	649															GSM 1800	D (DCS1800)			Essen	Severinstraße 6-8	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990574	On Air	?	-
5D	305300005D	305300005D:sector2	3362487	5704378	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_495	21	64	7	0	2	2									25005	31101	25005_31101	1	2	686	647															GSM 1800	D (DCS1800)			Essen	Severinstraße 6-8	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990574	On Air	?	-
5D	305300005D	305300005D:sector3	3362487	5704378	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_495	21	64	7	0	2	2									45005	31101	45005_31101	7	2	653	664															GSM 1800	D (DCS1800)			Essen	Severinstraße 6-8	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990574	On Air	?	-
6C	305300006C	305300006C:sector1	3361786	5704381	87	100	Kein MHA	TOC	not_defined	D1-Barring	1	30	ADFD1820-6565B-XD_4	27	61	7	0	4	4									5006	31101	5006_31101	3	2	694	674															GSM 1800	D (DCS1800)			Essen	Markt 6	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990024	On Air	?	-
6C	305300006C	305300006C:sector2	3361786	5704381	87	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	ADFD1820-6565B-XD_4	27	61	7	0	4	4									25006	31101	25006_31101	1	3	637	663	677														GSM 1800	D (DCS1800)			Essen	Markt 6	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990024	On Air	?	-
6C	305300006C	305300006C:sector3	3361786	5704381	87	100	Kein MHA	TOC	not_defined	D1-Barring	1	190	ADFD1820-6565B-XD_4	27	61	7	0	4	4									45006	31101	45006_31101	7	2	656	650															GSM 1800	D (DCS1800)			Essen	Markt 6	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990024	On Air	?	-
7A	305300007A	305300007A:sector1	3361499	5705044	64	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 742_215_6	40	68	7	0	6	6									5007	31101	5007_31101	7	4	683	647	716	672													GSM 1800	D (DCS1800)			Essen	Universitätstrasse 2	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990400	On Air	?	-
7A	305300007A	305300007A:sector2	3361499	5705044	64	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 742_215_4	41	68	7	0	4	4									25007	31101	25007_31101	1	3	709	699	638														GSM 1800	D (DCS1800)			Essen	Universitätstrasse 2	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990400	On Air	?	-
7A	305300007A	305300007A:sector3	3361499	5705044	64	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 742_215_4	41	68	7	0	4	4									45007	31101	45007_31101	7	4	691	669	705	662													GSM 1800	D (DCS1800)			Essen	Universitätstrasse 2	Schule - Staatlich	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990400	On Air	?	-
8A	305300008A	305300008A:sector1	3362172	5705963	65	100	Kein MHA	TOC	not_defined	D1-Barring	1	60	K 739_707	32	89	7	2	2	4									5008	31101	5008_31101	2	2	671	675															GSM 1800	D (DCS1800)			Essen	Altenessener Straße 80 / 84	Schule - Privat	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990256	On Air	?	-
8A	305300008A	305300008A:sector2	3362172	5705963	65	100	Kein MHA	TOC	not_defined	D1-Barring	1	180	K 739_707	32	89	7	2	2	4									25008	31101	25008_31101	5	2	659	667															GSM 1800	D (DCS1800)			Essen	Altenessener Straße 80 / 84	Schule - Privat	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990256	On Air	?	-
8A	305300008A	305300008A:sector3	3362172	5705963	65	100	Kein MHA	TOC	not_defined	D1-Barring	1	300	K 739_707	32	89	7	0	2	2									45008	31101	45008_31101	6	2	650	645															GSM 1800	D (DCS1800)			Essen	Altenessener Straße 80 / 84	Schule - Privat	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990256	On Air	?	-
9A	305300009A	305300009A:sector1	3362967	5704844	78	690	Kein MHA	BSS-blocked	not_defined	unset	1	0	932DD85T2E-H	27	84	5	0	2	2									5009	1	5009_1																			GSM 1800	D (DCS1800)			Essen	Eiserne Hand 45	Turm	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990233	Pool	?	-
9A	305300009A	305300009A:sector2	3362967	5704844	78	690	Kein MHA	BSS-blocked	not_defined	unset	1	120	932DD85T2E-H	27	84	5	0	2	2																														GSM 1800	D (DCS1800)			Essen	Eiserne Hand 45	Turm	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990233	Pool	?	-
9A	305300009A	305300009A:sector3	3362967	5704844	78	690	Kein MHA	BSS-blocked	not_defined	unset	1	240	932DD85T2E-H	27	84	5	0	2	2																														GSM 1800	D (DCS1800)			Essen	Eiserne Hand 45	Turm	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990233	Pool	?	-
10A	305300010A	305300010A:sector1	3363765	5703810	109	100	MHA	TOC	not_defined	D1-Barring	1	40	K 742_215_6	31	68	7	-2	6	4									5010	31101	5010_31101	7	2	722	639															GSM 1800	D (DCS1800)			Essen	Vollmerskamp 4	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990629	On Air	?	-
10A	305300010A	305300010A:sector2	3363765	5703810	109	100	MHA	TOC	not_defined	D1-Barring	1	180	K 742_215_4	31	68	7	0	4	4									25010	31101	25010_31101	5	2	711	672															GSM 1800	D (DCS1800)			Essen	Vollmerskamp 4	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990629	On Air	?	-
10A	305300010A	305300010A:sector3	3363765	5703810	109	100	MHA	TOC	not_defined	D1-Barring	1	300	K 742_215_5	31	68	7	0	5	5									45010	31101	45010_31101	2	3	700	682	692														GSM 1800	D (DCS1800)			Essen	Vollmerskamp 4	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990629	On Air	?	-
11A	305300011A	305300011A:sector1	3363059	5703804	111	100	MHA	TOC	not_defined	D1-Barring	1	30	K 742_212_8	27	68	7	0	8	8									5011	31101	5011_31101	2	2	642	715															GSM 1800	D (DCS1800)			Essen	Steinmetzstraße 37	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Helmut Jepkens	345990224	On Air	?	-
11A	305300011A	305300011A:sector2	3363059	5703804	111	100	MHA	TOC	not_defined	D1-Barring	1	150	K 742_212_6	27	68	8	0	6	6									25011	31101	25011_31101	5	3	717	661	698														GSM 1800	D (DCS1800)			Essen	Steinmetzstraße 37	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Helmut Jepkens	345990224	On Air	?	-
11A	305300011A	305300011A:sector3	3363059	5703804	111	100	MHA	TOC	not_defined	D1-Barring	1	270	K 742_212_6	27	68	8	0	6	6									45011	31101	45011_31101	5	3	640	679	644														GSM 1800	D (DCS1800)			Essen	Steinmetzstraße 37	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Helmut Jepkens	345990224	On Air	?	-
12A	305300012A	305300012A:sector1	3363640	5702589	108	100	Kein MHA	TOC	Swap-1800-900	D1-Barring	1	0	K 739_707	33	89	7	0	2	2									5012	31101	5012_31101	5	2	719	658															GSM 1800	D (DCS1800)			Essen	Klinkestraße 27-31	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990493	On Air	?	-
12A	305300012A	305300012A:sector2	3363640	5702589	108	100	Kein MHA	TOC	Swap-1800-900	D1-Barring	1	120	K 739_496	33	65	7	-2	6	4									25012	31101	25012_31101	6	2	713	648															GSM 1800	D (DCS1800)			Essen	Klinkestraße 27-31	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990493	On Air	?	-
12A	305300012A	305300012A:sector3	3363640	5702589	108	100	Kein MHA	TOC	Swap-1800-900	D1-Barring	1	230	K 739_495	33	64	7	2	2	4									45012	31101	45012_31101	7	2	700	691															GSM 1800	D (DCS1800)			Essen	Klinkestraße 27-31	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990493	On Air	?	-
13A	305300013A	305300013A:sector1	3360634	5701296	117	100	Kein MHA	TOC	not_defined	D1-Barring	1	30	K 739_495	22	64	7	0	2	2									5013	31101	5013_31101	0	2	702	693															GSM 1800	D (DCS1800)			Essen	Norbertstraße 2	Halle	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990279	On Air	?	-
13A	305300013A	305300013A:sector2	3360634	5701296	117	100	Kein MHA	TOC	not_defined	D1-Barring	1	140	K 739_707	22	89	7	0	2	2									25013	31101	25013_31101	4	2	652	666															GSM 1800	D (DCS1800)			Essen	Norbertstraße 2	Halle	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990279	On Air	?	-
13A	305300013A	305300013A:sector3	3360634	5701296	117	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_707	22	89	7	0	2	2									45013	31101	45013_31101	1	2	718	662															GSM 1800	D (DCS1800)			Essen	Norbertstraße 2	Halle	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990279	On Air	?	-
14B	305300014B	305300014B:sector1	3360424	5702075	114	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 741_989_4	27	90	7	0	4	4									5014	31101	5014_31101	6	3	706	700	658														GSM 1800	D (DCS1800)													
14B	305300014B	305300014B:sector2	3360424	5702075	114	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 741_989_4	27	90	7	0	4	4									25014	31101	25014_31101	3	2	647	653															GSM 1800	D (DCS1800)													
14B	305300014B	305300014B:sector3	3360424	5702075	114	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 741_989_4	27	90	7	0	4	4									45014	31101	45014_31101	3	3	683	677	649														GSM 1800	D (DCS1800)													
15D	305300015D	305300015D:sector1	3361261	5702912	112	100	MHA	TOC	not_defined	D1-Barring	1	0	K 742_215_5	28	68	7	0	5	5									5015	31101	5015_31101	5	3	670	651	712														GSM 1800	D (DCS1800)			Essen	Hölderlinstraße 2	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Franz-Josef Grote	345990227	On Air	?	-
15D	305300015D	305300015D:sector2	3361261	5702912	112	100	MHA	TOC	not_defined	D1-Barring	1	120	K 742_215_4	28	68	7	0	4	4									25015	31101	25015_31101	5	3	709	663	659														GSM 1800	D (DCS1800)			Essen	Hölderlinstraße 2	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Franz-Josef Grote	345990227	On Air	?	-
15D	305300015D	305300015D:sector3	3361261	5702912	112	100	MHA	TOC	not_defined	D1-Barring	1	240	K 742_215_4	28	68	7	0	4	4									45015	31101	45015_31101	1	4	687	638	661	699													GSM 1800	D (DCS1800)			Essen	Hölderlinstraße 2	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Franz-Josef Grote	345990227	On Air	?	-
16C	305300016C	305300016C:sector1	3361342	5701847	114	100	MHA	TOC	not_defined	D1-Barring	1	0	K 739_707	30	89	7	2	2	4									5016	31101	5016_31101	3	3	668	690	721														GSM 1800	D (DCS1800)			Essen	Rüttenscheider Straße 149/151	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990204	On Air	?	-
16C	305300016C	305300016C:sector2	3361342	5701847	114	100	MHA	TOC	not_defined	D1-Barring	1	120	K 739_707	30	89	7	0	2	2									25016	31101	25016_31101	5	3	671	664	677														GSM 1800	D (DCS1800)			Essen	Rüttenscheider Straße 149/151	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990204	On Air	?	-
